Epoch 1, Loss: 0.8730969202518463
Epoch 2, Loss: 0.37956541776657104
Epoch 3, Loss: 0.22209697604179382
Epoch 4, Loss: 0.13046986669301985
Epoch 5, Loss: 0.09115180134773254
Epoch 6, Loss: 0.06867552787065506
Epoch 7, Loss: 0.04739535331726074
Epoch 8, Loss: 0.03703111588954926
Epoch 9, Loss: 0.02715110331773758
Epoch 10, Loss: 0.024497750885784625
Epoch 11, Loss: 0.022146847136318683
Epoch 12, Loss: 0.020719312690198423
Epoch 13, Loss: 0.021150103844702242
Epoch 14, Loss: 0.020946495346724988
Epoch 15, Loss: 0.019779491499066354
Epoch 16, Loss: 0.018536994196474553
Epoch 17, Loss: 0.01791727211326361
Epoch 18, Loss: 0.01704632557928562
Epoch 19, Loss: 0.016844931952655316
Epoch 20, Loss: 0.01641142714768648
